nome,lat,lon
boa,43.706536909008754,10.475265478907993
boa,43.70659576414295,10.475425410104881
tubo,43.706474860226635,10.475362695196182
tubo,43.70669870813951,10.47532511881025
boa,43.70662466668768,10.475241201995274
tubo,43.70657352869181,10.475326484805143
tubo,43.70655539984416,10.475512261683484
tubo,43.70654628553985,10.475166732619822
boa,43.706519603349264,10.475457587694935
tubo,43.70649209788064,10.475578348600674
boa,43.706388775159766,10.475503682998118
boa,43.70641414896441,10.475661693263174
