Time_sec,Lat,Lon,Yaw_deg,North_m,East_m,Dist_to_Node_m,CrossTrackErr_m,Surge_Cmd,Yaw_Cmd_deg,Event
0.00,43.706598,10.475341,0.00,35.00,20.00,0.50,-0.35,0.00,0.00,
0.10,43.706598,10.475341,0.00,35.00,20.00,1.12,-0.35,0.00,45.00,
0.20,43.706598,10.475341,0.09,35.00,20.00,1.12,-0.35,0.00,45.00,
0.30,43.706598,10.475341,0.26,35.00,20.00,1.12,-0.35,0.00,45.00,
0.40,43.706598,10.475341,0.52,35.00,20.00,1.12,-0.35,0.00,45.00,
0.50,43.706598,10.475341,0.87,35.00,20.00,1.12,-0.35,0.00,45.00,
0.60,43.706598,10.475341,1.28,35.00,20.00,1.12,-0.35,0.00,45.00,
0.70,43.706598,10.475341,1.74,35.00,20.00,1.12,-0.35,0.00,45.00,
0.80,43.706598,10.475341,2.28,35.00,20.00,1.12,-0.35,0.00,45.00,
0.91,43.706598,10.475341,2.92,35.00,20.00,1.12,-0.35,0.00,45.00,
1.00,43.706598,10.475341,3.58,35.00,20.00,1.12,-0.35,0.00,45.00,
1.10,43.706598,10.475341,4.28,35.00,20.00,1.12,-0.35,0.00,45.00,
1.20,43.706598,10.475341,5.05,35.00,20.00,1.12,-0.35,0.00,45.00,
1.30,43.706598,10.475341,5.88,35.00,20.00,1.12,-0.35,0.00,45.00,
1.40,43.706598,10.475341,6.79,35.00,20.00,1.12,-0.35,0.00,45.00,
1.50,43.706598,10.475341,7.68,35.00,20.00,1.12,-0.35,0.00,45.00,
1.60,43.706598,10.475341,8.65,35.00,20.00,1.12,-0.35,0.00,45.00,
1.70,43.706598,10.475341,9.66,35.00,20.00,1.12,-0.35,0.00,44.47,
1.80,43.706598,10.475341,10.69,35.00,20.00,1.12,-0.35,0.01,43.44,
1.90,43.706598,10.475341,11.64,35.00,20.00,1.12,-0.35,0.01,42.48,
2.00,43.706598,10.475341,12.67,35.00,20.00,1.12,-0.35,0.02,41.45,
2.10,43.706598,10.475341,13.64,35.00,20.00,1.12,-0.35,0.02,40.48,
2.20,43.706598,10.475341,14.64,35.00,20.00,1.12,-0.35,0.02,39.48,
2.30,43.706598,10.475341,15.64,35.00,20.00,1.12,-0.35,0.03,38.49,
2.40,43.706598,10.475341,16.65,35.00,20.00,1.12,-0.35,0.03,37.49,
2.50,43.706598,10.475341,17.64,35.00,20.00,1.12,-0.35,0.04,36.50,
2.60,43.706598,10.475341,18.67,35.00,20.00,1.12,-0.35,0.04,35.47,
2.70,43.706598,10.475341,19.68,35.00,20.00,1.12,-0.35,0.05,34.47,
2.81,43.706598,10.475341,20.71,35.00,20.00,1.12,-0.35,0.05,33.45,
2.90,43.706598,10.475341,21.64,35.00,20.00,1.12,-0.36,0.06,32.53,
3.00,43.706598,10.475341,22.64,35.00,20.00,1.11,-0.36,0.06,31.55,
3.10,43.706598,10.475341,23.64,35.00,20.00,1.11,-0.36,0.06,30.56,
3.20,43.706598,10.475341,24.65,35.01,20.00,1.11,-0.36,0.07,29.57,
3.30,43.706598,10.475341,25.66,35.01,20.00,1.11,-0.36,0.07,28.57,
3.40,43.706598,10.475341,26.66,35.01,20.00,1.11,-0.36,0.08,27.59,
3.51,43.706598,10.475341,27.79,35.01,20.00,1.11,-0.36,0.08,26.48,
3.60,43.706598,10.475341,28.64,35.01,20.01,1.11,-0.36,0.09,25.65,
3.70,43.706598,10.475341,29.66,35.01,20.01,1.11,-0.36,0.09,24.65,
3.81,43.706598,10.475341,30.72,35.01,20.01,1.11,-0.36,0.10,23.62,
3.90,43.706598,10.475341,31.65,35.02,20.01,1.10,-0.36,0.10,22.70,
4.00,43.706598,10.475341,32.65,35.02,20.01,1.10,-0.36,0.10,21.74,
4.10,43.706598,10.475341,33.64,35.02,20.01,1.10,-0.36,0.11,20.77,
4.20,43.706598,10.475341,34.62,35.02,20.01,1.10,-0.36,0.11,19.82,
4.30,43.706598,10.475341,35.59,35.03,20.01,1.09,-0.36,0.12,18.87,
4.40,43.706598,10.475341,36.54,35.03,20.02,1.09,-0.36,0.12,17.95,
4.50,43.706598,10.475341,37.50,35.03,20.02,1.09,-0.36,0.12,17.02,
4.60,43.706598,10.475341,38.41,35.03,20.02,1.08,-0.36,0.13,16.14,
4.70,43.706598,10.475341,39.33,35.04,20.02,1.08,-0.36,0.13,15.24,
4.80,43.706598,10.475341,40.22,35.04,20.03,1.08,-0.36,0.14,14.38,
4.90,43.706598,10.475341,41.11,35.04,20.03,1.07,-0.36,0.14,13.52,
5.00,43.706598,10.475341,41.99,35.05,20.03,1.07,-0.36,0.14,12.67,
5.10,43.706598,10.475341,42.84,35.05,20.04,1.06,-0.36,0.15,11.85,
5.20,43.706598,10.475341,43.67,35.05,20.04,1.06,-0.36,0.15,11.04,
