Time_sec,Lat,Lon,Yaw_deg,North_m,East_m,Dist_to_Node_m,CrossTrackErr_m,Surge_Cmd,Yaw_Cmd_deg,Event
0.00,43.706629,10.475672,136.05,22.82,32.64,1.18,-0.58,0.00,45.00,
0.10,43.706629,10.475672,136.05,22.80,32.65,1.19,-0.60,0.00,45.00,
0.20,43.706629,10.475672,136.04,22.78,32.67,1.20,-0.63,0.00,45.00,
0.30,43.706628,10.475673,135.99,22.77,32.69,1.22,-0.65,0.00,45.00,
0.40,43.706628,10.475673,135.89,22.75,32.70,1.23,-0.67,0.00,45.00,
0.50,43.706628,10.475673,135.76,22.73,32.72,1.24,-0.69,0.00,45.00,
0.60,43.706628,10.475673,135.69,22.72,32.73,1.25,-0.72,0.00,45.00,
0.70,43.706628,10.475673,135.69,22.70,32.74,1.26,-0.74,0.00,45.00,
0.80,43.706628,10.475674,135.74,22.69,32.76,1.27,-0.76,0.00,45.00,
0.90,43.706628,10.475674,135.76,22.67,32.77,1.28,-0.78,0.00,45.00,
1.00,43.706627,10.475674,135.72,22.66,32.78,1.29,-0.79,0.00,45.00,
1.10,43.706627,10.475674,135.63,22.65,32.79,1.30,-0.81,0.00,45.00,
1.20,43.706627,10.475674,135.53,22.63,32.81,1.31,-0.83,0.00,45.00,
1.30,43.706627,10.475674,135.49,22.62,32.82,1.32,-0.85,0.00,45.00,
1.40,43.706627,10.475674,135.51,22.61,32.83,1.33,-0.86,0.00,45.00,
1.50,43.706627,10.475675,135.53,22.59,32.84,1.34,-0.88,0.00,45.00,
1.60,43.706627,10.475675,135.51,22.58,32.85,1.35,-0.90,0.00,45.00,
1.70,43.706627,10.475675,135.44,22.57,32.86,1.36,-0.91,0.00,45.00,
1.80,43.706627,10.475675,135.35,22.56,32.87,1.37,-0.92,0.00,45.00,
1.90,43.706627,10.475675,135.30,22.55,32.88,1.38,-0.94,0.00,45.00,
2.00,43.706626,10.475675,135.30,22.54,32.89,1.39,-0.95,0.00,45.00,
2.10,43.706626,10.475675,135.33,22.53,32.90,1.40,-0.96,0.00,45.00,
2.20,43.706626,10.475675,135.37,22.52,32.91,1.41,-0.98,0.00,45.00,
2.30,43.706626,10.475675,135.38,22.52,32.91,1.41,-0.99,0.00,45.00,
2.40,43.706626,10.475676,135.38,22.51,32.92,1.42,-1.00,0.00,45.00,
2.50,43.706626,10.475676,135.37,22.50,32.93,1.43,-1.01,0.00,45.00,
2.60,43.706626,10.475676,135.37,22.50,32.93,1.43,-1.02,0.00,45.00,
2.70,43.706626,10.475676,135.41,22.49,32.94,1.44,-1.02,0.00,45.00,
2.80,43.706626,10.475676,135.47,22.48,32.94,1.44,-1.03,0.00,45.00,
2.90,43.706626,10.475676,135.57,22.48,32.95,1.45,-1.04,0.00,45.00,
3.00,43.706626,10.475676,135.69,22.47,32.95,1.45,-1.05,0.00,45.00,
3.10,43.706626,10.475676,135.82,22.47,32.96,1.46,-1.05,0.00,45.00,
3.20,43.706626,10.475676,135.95,22.47,32.96,1.46,-1.06,0.00,45.00,
3.30,43.706626,10.475676,136.09,22.46,32.97,1.47,-1.06,0.00,45.00,
3.40,43.706626,10.475676,136.26,22.46,32.97,1.47,-1.07,0.00,45.00,
3.50,43.706626,10.475676,136.48,22.46,32.97,1.47,-1.07,0.00,45.00,
3.60,43.706626,10.475676,136.74,22.45,32.98,1.48,-1.08,0.00,45.00,
3.70,43.706626,10.475676,136.99,22.45,32.98,1.48,-1.08,0.00,45.00,
3.80,43.706626,10.475676,137.20,22.45,32.98,1.48,-1.08,0.00,45.00,
3.90,43.706626,10.475676,137.36,22.45,32.99,1.49,-1.09,0.00,45.00,
4.00,43.706626,10.475676,137.48,22.45,32.99,1.49,-1.09,0.00,45.00,
4.10,43.706626,10.475676,137.58,22.45,32.99,1.49,-1.09,0.00,45.00,
