Nord_x,Est_y
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
35.00000170499157,20.00000193616007
35.00001201097541,20.00001406394356
35.00003738580313,20.000044993207393
35.00008544128696,20.000105748381955
35.00015667215937,20.000199032733615
35.00026219293837,20.000342413520247
35.00040361927882,20.000541878175635
35.00057613036631,20.00079416650158
35.00080198280056,20.001137536318314
35.00108954392093,20.001593182567195
35.00137040495032,20.002054307384643
35.00171857079668,20.002648666062438
35.00211745802806,20.00335755786786
35.002567437693806,20.00419107255997
35.00306367767132,20.005150013043483
35.003602111259816,20.00623628672982
35.00423178976889,20.007568575984898
35.00486056998517,20.00896112795606
35.0055004498775,20.010443680880524
35.00621782042134,20.012190050427616
35.0069366150879,20.01402778140546
35.00771705553888,20.016131544556384
35.00850826278166,20.018382195177736
35.009324437051255,20.02083763764525
35.01035169952506,20.024157839129337
35.0110181670464,20.026417690213304
35.01188062141707,20.029534445331883
35.01283747144731,20.033256782874876
35.01362839527906,20.03653717943465
35.01448836397252,20.04037629308574
35.015303959405145,20.04429906340981
35.01620686946235,20.04904781581079
35.01693919859541,20.05321667937925
35.01768533147078,20.057857905611314
35.01846765473215,20.063260257702225
35.01911029311131,20.068151962391998
35.01976410820344,20.07373167285394
35.02036991940526,20.07959299432715
35.02091869572915,20.08568905391606
35.02140074607304,20.091921750994292
35.02183412534456,20.09862120847614
35.02220605248408,20.105744940730194
35.022486530449186,20.112579323504487
35.02270731116899,20.11999851033915
35.02285340071623,20.127794536991505
35.02291954785926,20.13548442897137
35.02290679436328,20.143758605123107
35.02281250259753,20.15219989222832
35.02263104604045,20.161035952740786
35.022373961146194,20.169833831955064
35.02201707387337,20.17925988246692
35.021571978630504,20.18891856949393
35.0210611532334,20.198444119434708
35.02044162734111,20.20858757313162
35.01976633944682,20.218537723159447
35.01901298701138,20.228678183267643
35.0181678016305,20.239183284912336
35.01721971331207,20.250157145762724
35.01622119832783,20.261030914106254
35.015114897396685,20.27242904934431
35.01398844954637,20.283501225134078
35.01264596192671,20.296098487930877
35.01129497480344,20.308289082692056
35.0101217393979,20.318569286930966
35.008704646123725,20.3306162487801
35.007242371761286,20.342720538205604
35.005717771710664,20.355045272145784
35.0041449960269,20.367497455289545
35.002410610331964,20.3809668120682
35.00085890954411,20.39284131975088
34.99909108205536,20.406182211261815
34.99735206001053,20.419157612059408
34.995520673536255,20.43269114392016
34.99376387292721,20.44557857294462
34.9920441079899,20.45812459634645
34.99017967480101,20.47166828641312
34.98829746587495,20.485304873734982
34.9864384118414,20.498758282780205
34.98450541580158,20.512750815170424
34.982643482425125,20.526251620460513
34.98074729660039,20.540043425132907
34.97862037179826,20.555593183534523
34.976932727719095,20.56799428494182
