Time_sec,Lat,Lon,Yaw_deg,North_m,East_m,Dist_to_Node_m,CrossTrackErr_m,Surge_Cmd,Yaw_Cmd_deg,Event
0.20,43.706628,10.475679,53.92,22.69,33.23,1.00,-0.03,0.00,45.00,
0.20,43.706628,10.475679,53.92,22.69,33.23,1.00,-0.03,0.00,45.00,
0.20,43.706628,10.475679,53.92,22.69,33.23,1.00,-0.03,0.00,45.00,
0.20,43.706628,10.475679,53.92,22.69,33.23,1.00,-0.03,0.00,45.00,
0.40,43.706628,10.475679,52.70,22.69,33.23,1.00,-0.03,0.00,45.00,
0.50,43.706628,10.475679,52.22,22.69,33.23,1.00,-0.03,0.00,45.00,
0.60,43.706628,10.475679,51.78,22.69,33.23,1.00,-0.03,0.00,45.00,
0.70,43.706628,10.475679,51.40,22.69,33.22,1.00,-0.03,0.00,0.00,
0.80,43.706628,10.475679,51.07,22.69,33.22,1.70,-0.02,0.00,45.00,
0.90,43.706628,10.475679,50.80,22.69,33.22,1.70,-0.02,0.00,45.00,
1.00,43.706628,10.475679,50.59,22.69,33.22,1.70,-0.02,0.00,45.00,
1.10,43.706628,10.475679,50.38,22.69,33.22,1.70,-0.02,0.00,45.00,
1.20,43.706628,10.475679,50.18,22.69,33.22,1.70,-0.02,0.00,45.00,
1.30,43.706628,10.475679,49.98,22.69,33.22,1.70,-0.02,0.00,45.00,
1.40,43.706628,10.475679,49.81,22.69,33.21,1.70,-0.02,0.00,45.00,
1.40,43.706628,10.475679,49.81,22.69,33.21,1.70,-0.02,0.00,45.00,
1.40,43.706628,10.475679,49.81,22.69,33.21,1.70,-0.02,0.00,45.00,
1.70,43.706628,10.475679,49.82,22.68,33.21,1.69,-0.02,0.00,45.00,
1.80,43.706628,10.475679,50.10,22.68,33.21,1.69,-0.02,0.00,45.00,
1.90,43.706628,10.475679,50.50,22.68,33.21,1.69,-0.02,0.00,45.00,
2.00,43.706628,10.475679,51.00,22.69,33.21,1.69,-0.01,0.00,45.00,
2.10,43.706628,10.475679,51.59,22.68,33.21,1.69,-0.02,0.00,45.00,
2.20,43.706628,10.475679,52.23,22.68,33.21,1.69,-0.02,0.00,45.00,
2.30,43.706628,10.475679,52.93,22.69,33.20,1.69,-0.01,0.00,45.00,
2.40,43.706628,10.475679,53.66,22.68,33.20,1.69,-0.01,0.00,45.00,
2.50,43.706628,10.475679,54.42,22.68,33.20,1.69,-0.01,0.00,45.00,
2.60,43.706628,10.475679,55.21,22.68,33.20,1.69,-0.01,0.00,45.00,
2.70,43.706628,10.475679,56.03,22.68,33.20,1.69,-0.01,0.00,45.00,
2.80,43.706628,10.475679,56.85,22.68,33.20,1.69,-0.02,0.00,45.00,
2.90,43.706628,10.475679,57.66,22.68,33.21,1.69,-0.02,0.00,45.00,
3.00,43.706628,10.475679,58.43,22.68,33.21,1.69,-0.02,0.00,45.00,
3.10,43.706628,10.475679,59.17,22.68,33.21,1.69,-0.02,0.00,45.00,
3.20,43.706628,10.475679,59.90,22.68,33.20,1.68,-0.02,0.00,45.00,
3.30,43.706628,10.475679,60.68,22.68,33.21,1.68,-0.02,0.00,45.00,
3.40,43.706628,10.475679,61.49,22.68,33.20,1.68,-0.02,0.00,45.00,
3.50,43.706628,10.475679,62.34,22.68,33.20,1.68,-0.02,0.00,45.00,
3.60,43.706628,10.475679,63.21,22.68,33.20,1.68,-0.02,0.00,45.00,
3.70,43.706628,10.475679,64.06,22.67,33.20,1.68,-0.02,0.00,45.00,
3.80,43.706628,10.475679,64.88,22.67,33.20,1.68,-0.02,0.00,45.00,
3.90,43.706628,10.475679,65.70,22.67,33.20,1.68,-0.02,0.00,45.00,
4.00,43.706628,10.475679,66.53,22.67,33.20,1.68,-0.03,0.00,45.00,
4.10,43.706628,10.475679,67.41,22.67,33.20,1.67,-0.02,0.00,45.00,
4.20,43.706628,10.475679,68.31,22.66,33.20,1.67,-0.03,0.00,45.00,
4.30,43.706628,10.475679,69.22,22.66,33.20,1.67,-0.03,0.00,45.00,
4.40,43.706628,10.475679,70.13,22.66,33.20,1.67,-0.03,0.00,45.00,
4.50,43.706627,10.475679,71.03,22.66,33.20,1.67,-0.03,0.00,45.00,
4.60,43.706627,10.475679,71.93,22.66,33.20,1.67,-0.03,0.00,45.00,
4.70,43.706627,10.475679,72.86,22.66,33.20,1.66,-0.03,0.00,45.00,
4.80,43.706627,10.475679,73.80,22.66,33.20,1.66,-0.03,0.00,45.00,
4.90,43.706627,10.475679,74.75,22.65,33.19,1.66,-0.03,0.00,45.00,
5.00,43.706627,10.475679,75.68,22.65,33.19,1.66,-0.03,0.00,45.00,
5.10,43.706627,10.475679,76.58,22.65,33.19,1.66,-0.03,0.00,45.00,
5.20,43.706627,10.475679,77.48,22.65,33.19,1.66,-0.03,0.00,45.00,
5.30,43.706627,10.475679,78.38,22.65,33.19,1.65,-0.03,0.00,45.00,
5.40,43.706627,10.475679,79.30,22.65,33.19,1.65,-0.03,0.00,45.00,
5.50,43.706627,10.475679,80.23,22.65,33.19,1.65,-0.03,0.00,45.00,
5.60,43.706627,10.475679,81.18,22.64,33.19,1.65,-0.03,0.00,45.00,
5.70,43.706627,10.475679,82.13,22.64,33.19,1.65,-0.03,0.00,45.00,
5.80,43.706627,10.475679,83.06,22.64,33.19,1.65,-0.03,0.00,45.00,
